name,age,position,team
Jesse Berardi,30,2B,Cleveland Guardians
Joey Bart,29,C,San Francisco Giants
Alec Bohm,29,3B,Philadelphia Phillies
Nick Madrigal,28,3B,Chicago White Sox
Jonathan India,29,2B,Cincinnati Reds
Kyler Murray,28,OF,Athletics
Travis Swaggerty,28,LF,Pittsburgh Pirates
Trevor Larnach,28,RF,Minnesota Twins
Nico Hoerner,28,2B,Chicago Cubs
Seth Beer,29,1B,Houston Astros
Steele Walker,29,OF,Chicago White Sox
Greyson Jenista,29,1B,Atlanta Braves
Jameson Hannah,28,RF,Athletics
Griffin Conine,28,LF,Toronto Blue Jays
Josh Stowers,28,RF,Seattle Mariners
Tyler Frank,29,2B,Tampa Bay Rays
Kody Clemens,29,2B,Detroit Tigers
Carlos Cortes,28,LF,New York Mets
Owen Miller,29,2B,San Diego Padres
Connor Kaiser,29,SS,Pittsburgh Pirates
Tristan Pompey,28,CF,Miami Marlins
Cal Raleigh,29,C,Seattle Mariners
Ford Proctor,29,2B,Tampa Bay Rays
Kyle Isbel,28,CF,Kansas City Royals
Terrin Vavra,28,2B,Colorado Rockies
Jimmy Herron,29,LF,Chicago Cubs
Jeremy Peña,28,SS,Houston Astros
Richie Palacios,28,LF,Cleveland Guardians
Alfonso Rivas III,29,1B,Athletics
Nick Fortes,29,C,Miami Marlins
Grant Witherspoon,29,CF,Tampa Bay Rays
Eric Cole,29,OF,Kansas City Royals
DaShawn Keirsey Jr.,28,CF,Minnesota Twins
Kole Cottam,28,C,Boston Red Sox
Alex McKenna,28,OF,Houston Astros
Matt Vierling,29,CF,Philadelphia Phillies
Dwanya Williams-Sutton,28,OF,San Diego Padres
Grant Koch,29,C,Pittsburgh Pirates
Robert Neustrom,29,OF,Baltimore Orioles
Chris Bec,30,C,Toronto Blue Jays
Nick Dunn,29,3B,St. Louis Cardinals
Brandon Lockridge,28,LF,New York Yankees
Andy Weber,28,2B,Chicago Cubs
Gage Canning,28,OF,Washington Nationals
Steven Kwan,28,LF,Cleveland Guardians
Devin Mann,29,3B,Los Angeles Dodgers
Nick Meyer,28,C,New York Mets
Niko Decolati,28,RF,Colorado Rockies
Devlin Granberg,30,OF,Boston Red Sox
Jay Schuyler,28,C,Cincinnati Reds
Jawuan Harris,29,OF,San Diego Padres
Brett Kinneman,29,RF,Pittsburgh Pirates
Nick Podkul,28,1B,Toronto Blue Jays
Brendan Donovan,29,2B,St. Louis Cardinals
David Fry,30,1B,Milwaukee Brewers
D.J. Artis,28,OF,Chicago Cubs
César Salazar,29,C,Houston Astros
James Outman,28,CF,Los Angeles Dodgers
Jeremiah Burks,29,2B,Detroit Tigers
Seth Lancaster,29,SS,Philadelphia Phillies
AJ Graffanino,28,2B,Atlanta Braves
JJ Schwarz,29,C,Athletics
Jax Biggers,28,2B,Texas Rangers
Jackson Lueck,28,OF,Kansas City Royals
Chris Williams,29,C,Minnesota Twins
Tyler Cropley,30,C,Washington Nationals
Luke Heyer,29,2B,Los Angeles Dodgers
Gunnar Troutwine,29,C,Chicago White Sox
Luke Becker,29,2B,San Diego Padres
Jake Brodt,30,1B,Toronto Blue Jays
Keegan McGovern,30,OF,Seattle Mariners
Matt Duce,30,C,St. Louis Cardinals
Willie MacIver,29,C,Colorado Rockies
Scott Schreiber,30,OF,Houston Astros
Josh McLain,29,OF,Los Angeles Dodgers
Brock Deatherage,30,CF,Detroit Tigers
Madison Stokes,29,SS,Philadelphia Phillies
Michael Gretler,30,3B,Pittsburgh Pirates
Cal Stevenson,29,OF,Toronto Blue Jays
Matt Sanders,29,SS,Seattle Mariners
Kevin Woodall,29,1B,St. Louis Cardinals
Cade Harris,28,RF,Colorado Rockies
Luke Reynolds,30,3B,Chicago Cubs
Nick Dalesandro,29,C,Arizona Diamondbacks
Grant Williams,30,2B,Boston Red Sox
Carson Shaddy,31,2B,Washington Nationals
Chandler Taylor,30,OF,Houston Astros
Deacon Liput,29,SS,Los Angeles Dodgers
Adley Rutschman,28,C,Baltimore Orioles
JJ Bleday,28,CF,Miami Marlins
Josh Jung,28,3B,Texas Rangers
Shea Langeliers,28,C,Atlanta Braves
Hunter Bishop,27,OF,San Francisco Giants
Bryson Stott,28,2B,Philadelphia Phillies
Will Wilson,27,3B,Los Angeles Angels
Braden Shewmake,28,SS,Atlanta Braves
Michael Toglia,27,1B,Colorado Rockies
Kody Hoese,28,3B,Los Angeles Dodgers
Logan Davidson,28,1B,Athletics
Michael Busch,28,1B,Los Angeles Dodgers
Cam Cannon,28,SS,Boston Red Sox
Brady McConnell,27,SS,Kansas City Royals
