Name,Season,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,,
Nicky Lopez,2021,26,KCR,AL,4.4,151,565,497,78,149,21,6,2,43,22,1,49,74,0.3,0.365,0.378,0.744,104,0.339,104,188,9,4,12,3,0,*6/4H,,,
Tres Barrera,2019,24,WSN,NL,-0.1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,-142,0,0,0,0,0,0,/2H,,,
Tres Barrera,2021,26,WSN,NL,0.5,30,107,91,8,24,3,1,2,10,0,0,12,22,0.264,0.374,0.385,0.758,111,0.345,117,35,3,4,0,0,2,2/H,,,
Tres Barrera,2022,27,WSN,NL,-0.4,19,53,50,2,9,1,0,0,4,0,0,2,16,0.18,0.212,0.2,0.412,20,0.185,9,10,1,0,1,0,0,2,,,
Tommy Edman,2019,24,STL,NL,4,92,349,326,59,99,17,7,11,36,15,1,16,61,0.304,0.35,0.5,0.85,122,0.382,132,163,3,7,0,0,0,54H9/78,,,
Tommy Edman,2020,25,STL,NL,1.1,55,227,204,29,51,7,1,5,26,2,4,16,48,0.25,0.317,0.368,0.685,90,0.302,92,75,5,5,0,2,0,569/47H,,,
Tommy Edman,2021,26,STL,NL,3.8,159,691,641,91,168,41,3,11,56,30,5,38,95,0.262,0.308,0.387,0.695,91,0.317,93,248,4,6,2,4,1,*49/6H,GG,,
Jake Noll,2019,25,WSN,NL,-0.1,8,13,12,1,2,1,0,0,2,0,0,1,4,0.167,0.231,0.25,0.481,25,0.215,12,3,0,0,0,0,0,/H35,,,
Jake Noll,2020,26,WSN,NL,-0.1,7,17,17,2,6,1,0,0,0,0,0,0,4,0.353,0.353,0.412,0.765,107,0.326,99,7,1,0,0,0,0,/3HD5,,,
Andrew Knizner,2019,24,STL,NL,0.2,18,58,53,7,12,2,0,2,7,2,0,4,14,0.226,0.293,0.377,0.67,76,0.314,83,20,3,1,0,0,0,2/H3,,,
Andrew Knizner,2020,25,STL,NL,-0.1,8,17,16,1,4,1,0,0,4,0,0,0,5,0.25,0.235,0.313,0.548,50,0.231,38,5,2,0,0,1,0,/2HD,,,
Andrew Knizner,2021,26,STL,NL,-0.3,63,185,161,18,28,7,0,1,9,0,0,20,39,0.174,0.281,0.236,0.517,46,0.241,43,38,7,4,0,0,2,2H/3,,,
Gavin Sheets,2021,25,CHW,AL,0.1,54,179,160,23,40,8,0,11,34,0,0,16,40,0.25,0.324,0.506,0.83,122,0.36,126,81,4,2,0,1,0,D93/H7,,,
Gavin Sheets,2022,26,CHW,AL,-0.5,124,410,377,34,91,19,0,15,53,0,0,27,86,0.241,0.295,0.411,0.706,99,0.315,100,155,9,3,0,3,0,9HD3/7,,,
Gavin Sheets,2023,27,CHW,AL,-1.5,118,344,311,24,63,10,0,10,43,1,0,28,66,0.203,0.267,0.331,0.599,64,0.267,61,103,6,1,0,4,2,9H3D/7,,,
Joe Dunand,2022,26,MIA,NL,11,0.439,187,0.333,0.4,9.1,27.3,0,85.9,28.6,14.3,14.3,57.1,0.17,57.1,42.9,0,0.1,0.10%,0.32,33.3,0,/45,,,,,,,,
Taylor Walls,2021,24,TBR,AL,1.4,54,176,152,15,32,10,0,1,15,4,2,23,49,0.211,0.314,0.296,0.61,75,0.281,79,45,3,0,1,0,0,6/H45D,,,
Taylor Walls,2022,25,TBR,AL,2.5,142,466,407,53,70,18,2,8,33,10,3,52,120,0.172,0.268,0.285,0.553,62,0.257,62,116,6,2,2,2,0,645/HD,,,
Taylor Walls,2023,26,TBR,AL,2,99,349,303,50,61,12,2,8,36,22,1,44,92,0.201,0.305,0.333,0.638,78,0.302,79,101,1,1,1,0,0,546/H,,,
Luis Gonz�lez,2020,24,CHW,AL,0,3,2,1,1,0,0,0,0,0,0,0,0,1,0,0.5,0,0.5,57,0.364,129,0,0,1,0,0,0,/H78D,,,
Luis Gonz�lez,2021,25,CHW,AL,0.1,6,11,8,2,2,2,0,0,0,0,0,3,2,0.25,0.455,0.5,0.955,162,0.413,163,4,1,0,0,0,0,/97H,,,
Luis Gonz�lez,2022,26,SFG,NL,0.3,98,350,311,31,79,17,2,4,36,10,2,30,75,0.254,0.323,0.36,0.683,95,0.305,91,112,5,4,0,5,1,97/H81D,,,
Riley Adams,2021,25,2TM,2LG,0.5,47,120,99,13,22,8,1,2,10,0,0,15,40,0.222,0.358,0.384,0.742,105,0.341,112,38,2,6,0,0,0,2H,,,
Riley Adams,2022,26,WSN,NL,0,48,155,142,14,25,4,0,5,10,0,1,12,46,0.176,0.245,0.31,0.555,59,0.257,64,44,2,1,0,0,0,2/HD3,,,
Riley Adams,2023,27,WSN,NL,1.1,44,158,143,8,39,13,2,4,21,0,0,11,45,0.273,0.331,0.476,0.807,121,0.345,119,68,5,2,1,1,0,2/HD,,,
Connor Wong,2021,25,BOS,AL,0.3,6,14,13,3,4,1,1,0,1,0,0,1,7,0.308,0.357,0.538,0.896,135,0.44,177,7,0,0,0,0,0,/2HD,,,
Connor Wong,2022,26,BOS,AL,-0.1,27,56,48,8,9,3,0,1,7,0,0,5,16,0.188,0.273,0.313,0.585,63,0.256,51,15,0,1,1,1,0,2/H45D,,,
Connor Wong,2023,27,BOS,AL,2.2,126,403,371,55,87,25,2,9,36,8,2,22,134,0.235,0.288,0.385,0.673,80,0.299,78,143,4,6,3,1,0,*2H/4D,,,
Jason Delay,2022,27,PIT,NL,-0.4,57,167,155,17,33,6,0,1,11,0,2,9,50,0.213,0.265,0.271,0.536,53,0.242,51,42,4,2,1,0,0,2,,,
Jason Delay,2023,28,PIT,NL,-0.1,70,187,167,20,42,11,1,1,18,0,0,14,44,0.251,0.319,0.347,0.666,81,0.294,77,58,5,3,2,1,0,2/H,,,
Jason Delay,2024,29,PIT,NL,0.1,7,19,15,1,3,3,0,0,6,0,0,3,0,0.2,0.333,0.4,0.733,105,0.322,103,6,0,0,1,0,0,/2DH,,,
Kramer Robertson,2022,27,STL,NL,-0.1,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-100,0,-127,0,0,0,0,0,0,/H6D,,,
Kevin Smith,2021,24,TOR,AL,-0.3,18,36,32,2,3,0,0,1,1,0,0,3,11,0.094,0.194,0.188,0.382,5,0.182,-1,6,0,1,0,0,0,5/H37D,,,
Kevin Smith,2022,25,OAK,AL,0.4,47,151,139,9,25,9,1,2,13,4,0,7,42,0.18,0.216,0.302,0.518,51,0.246,52,42,5,0,3,2,0,56/H,,,
Kevin Smith,2023,26,OAK,AL,-0.3,49,146,135,15,25,4,0,5,11,1,0,5,51,0.185,0.22,0.326,0.546,52,0.235,42,44,3,1,5,0,0,65/HD,,,
Ernie Clement,2021,25,CLE,AL,-0.1,40,133,121,16,28,4,0,3,9,0,1,7,19,0.231,0.285,0.339,0.623,71,0.278,72,41,3,2,3,0,0,45/H76,,,
Ernie Clement,2022,26,2TM,AL,-0.7,69,179,163,19,30,4,0,0,6,0,1,11,26,0.184,0.243,0.209,0.452,33,0.22,37,34,3,2,2,1,0,5H47/D316,,,
Ernie Clement,2023,27,TOR,AL,0.9,29,52,50,7,19,1,1,1,10,1,0,1,4,0.38,0.385,0.5,0.885,143,0.381,141,25,0,0,0,1,0,6H/45D1,,,
David Ba�uelos,2024,27,BAL,AL,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,-127,0,0,0,0,0,0,/H,,,
